"null","Sourced","Placed","References","Value","Footprint","Digi-Key_PN","Manufacturer_PN","Quantity"
1,"","","C206, C302, C306, C307, C308, C309, C310, C801, C802, C1001, C1002","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-1017-1-ND","",11
2,"","","C1005, C1009, C1010, C1011, C1012","470nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-6840-1-ND","CL21B104KCFNNNE",5
3,"","","C205, C504, C505, C506","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-1079-1-ND","CL31A106KQHNNNE",4
4,"","","C1015, C1016, C1018, C1019","1nF 100V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-6840-1-ND","CL21B104KCFNNNE",4
5,"","","C301, C303, C304","10p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","738-CML1206C0G100JT50VCT-ND","CML1206C0G100JT50V",3
6,"","","C501, C502, C503","100uF 50V","CP_Elec_10x10.5","565-4786-1-ND","HHXC500ARA101MJA0G",3
7,"","","C201, C202","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-1017-1-ND","CL31B104KBCNNNC",2
8,"","","C203, C207","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-1097-1-ND","CL31B105KAHNNNE",2
9,"","","C1003, C1004","2.2uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-6840-1-ND","CL21B104KCFNNNE",2
10,"","","C1007, C1008","100nF 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-6840-1-ND","CL21B104KCFNNNE",2
11,"","","C1013, C1014","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-6480-1-ND","CL21B474KAFNNNG",2
12,"","","C1017, C1020","22uF","CP_Elec_8x10.5","1189-2383-1-ND","100SEV22M8X10.5",2
13,"","","C204","0.33uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-2860-1-ND","CL31F334ZBCNNNC",1
14,"","","C208","10nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","478-1542-1-ND","12065C103KAT2A",1
15,"","","C209","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1276-2728-1-ND","CL31A226MOCLNNC",1
